,Model,Version,Activation,Min,Mean,Max,MSPE
12,5,1,ReLU,0.0024298361968249083,0.05131874978542328,0.9155269265174866,100548511173.2645
13,5,2,LReLU,-0.009791840799152851,0.05345087870955467,0.46154916286468506,113891599656.5547
14,5,3,PReLU,0.0004092484596185386,0.0691719725728035,0.8839031457901001,190652982732.1936
9,4,1,ReLU,0.002150201704353094,0.11144723743200302,1.0957149267196655,472680098917.6338
6,3,1,ReLU,0.013754683546721935,0.11160337179899216,1.2603100538253784,494897180375.05585
10,4,2,LReLU,-0.0015569934621453285,0.11963102966547012,0.8193678855895996,502611033154.2637
8,3,3,PReLU,-0.008033783175051212,0.11616213619709015,1.259812831878662,507079563660.50433
0,1,1,ReLU,-0.05541452392935753,0.11634300649166107,1.4741086959838867,554996655782.1073
7,3,2,LReLU,-0.01790452189743519,0.1318516880273819,0.8500389456748962,570948091886.1166
3,2,1,ReLU,-0.010890042409300804,0.1125861406326294,1.4761550426483154,572221777655.142
5,2,3,PReLU,0.0010658723767846823,0.12211794406175613,1.695590853691101,604404045024.9392
2,1,3,PReLU,-0.030687207356095314,0.12128021568059921,1.4028393030166626,607566698038.1198
4,2,2,LReLU,-0.016406260430812836,0.12521237134933472,1.2233707904815674,624168539852.9432
11,4,3,PReLU,-0.02756384201347828,0.12524248659610748,1.3038253784179688,638565181122.376
1,1,2,LReLU,-0.036716997623443604,0.12316440045833588,1.2270697355270386,649771182690.4797
16,6,2,LReLU,-1.497939944267273,-0.605534017086029,-0.5561529994010925,5259420605631.517
17,6,3,PReLU,-0.6979029178619385,-0.6416434645652771,1.9058253765106201,6055278598189.055
15,6,1,ReLU,-420.6277770996094,-0.4786534011363983,2.5413002967834473,965312326727688.9
